id,tier,category,subcategory,source,publisher,url,covers,unit_type,geo_granularity,cadence,lag,format,access_method,all_bidders_or_awarded,history_depth,license,verification,verification_note,notes
F01,1,federal,material_index,PPI commodity indexes (WPU…),BLS,https://api.bls.gov/publicAPI/v2/timeseries/data/,"Lumber, steel mill, fabricated metal, fasteners, copper wire, cement, ready-mix, gypsum, aggregates, insulation, asphalt mixes, plastics, paint, glass, diesel",index,national,monthly,~2 weeks (revised +4 mo),JSON/flat files,API (free key; 500 q/day) + https://download.bls.gov/pub/time.series/wp/,n/a,1980s+,public domain,VERIFIED-URL,verified,National only; use for temporal escalation of material bases. AGC PPI Tables PDF lists ~40 curated series IDs.
F02,1,federal,material_index,PPI inputs-to-construction (WPUIP23…),BLS,https://www.bls.gov/ppi/factsheets/producer-price-index-by-commodity-for-inputs-to-industries-construction.htm,"Goods less foods/energy, services; new residential, new nonresidential, maintenance & repair",index,national,monthly,~2 weeks,JSON/flat,API,n/a,Dec 2014 base,public domain,VERIFIED-URL,verified,Series WPUIP2300001 WPUIP231100 WPUIP231200 WPUIP232000
F03,1,federal,output_index,PPI new nonresidential building construction (PCU2364xx),BLS,https://www.bls.gov/ppi/notices/2016/ppi-introduces-regional-indexes-for-new-nonresidential-building-construction.htm,"Contractor output prices: industrial, warehouse, school, office, health care; concrete/roofing/electrical/plumbing trades",index,national + 4 Census regions,monthly,~2 weeks,JSON/flat,API,n/a,2007+ (regional 2016+),public domain,VERIFIED-URL,verified,Only regionally disaggregated PPI for construction
F04,1,federal,labor_rate,OEWS occupational wages (SOC 47-xxxx),BLS,https://www.bls.gov/oes/special-requests/oesm25all.zip,"Hourly mean, median, P10/P25/P75/P90 by trade; national by NAICS",$/hr,"national, state, ~530 MSA + nonmetro areas",annual (May ref),~11-12 months,XLSX zips (oesm{yy}all.zip),bulk download (browser UA required),n/a,1997+,public domain,VERIFIED-URL,verified,May 2025 released 15 May 2026; area definitions https://www.bls.gov/oes/area_definitions_m2025.xlsx ; series ID 25 chars OE+U+areatype+area(7)+industry(6)+SOC(6)+datatype(2); no county; no fringe
F05,1,federal,labor_rate,QCEW county wages by NAICS 236/237/238,BLS,https://data.bls.gov/cew/data/api/{year}/{qtr}/industry/{naics}.csv,"Avg weekly wage, employment, establishments by county × NAICS 4-6 digit",$/week,county,quarterly,5-6 months,CSV,open-data CSV slices (no key),n/a,1975+ (zips),public domain,VERIFIED-URL,verified,Best free county wage signal; suppression at fine NAICS; MSA industry detail dropped Q3 2025
F06,1,federal,labor_index,CES average hourly earnings construction (CES2000000003; SAE SMU…20000000003),BLS,https://download.bls.gov/pub/time.series/ce/,AHE and hours construction supersector,$/hr,national; state; large MSAs,monthly,~1 week (state ~3 wks),flat/JSON,API/FRED,n/a,1947+/2006+,public domain,VERIFIED-URL,verified,Monthly escalation/nowcast
F07,1,federal,labor_index,Employment Cost Index construction (CIU2012300000000I),BLS,https://www.bls.gov/eci/,Fixed-weight wages & total comp index,index,national; regions,quarterly,~1 month,JSON,API/FRED,n/a,2005+,public domain,VERIFIED-URL,verified,DOL uses ECI to age Davis-Bacon survey rates
F08,1,federal,labor_burden,Employer Costs for Employee Compensation (construction),BLS,https://www.bls.gov/ecec/,"Wages vs benefits $/hr incl. legally required (WC, SUTA, FICA)",$/hr,"national, regions, 15 largest MSAs",quarterly,~3 months,HTML/XLSX,API,n/a,2004+,public domain,VERIFIED-URL,verified,Benefit-burden ratios; no state estimates
F09,1,federal,labor_rate,Davis-Bacon wage determinations,DOL WHD via SAM.gov,https://sam.gov/wage-determinations,Base wage + fringe by craft for Building/Residential/Heavy/Highway,$/hr,county (groups),weekly modifications,days,text in JSON,undocumented JSON: https://sam.gov/api/prod/sgs/v1/search?index=dbra… and /api/prod/wdol/v1/wd/{id}/{rev},n/a,current + history endpoint,public domain,VERIFIED-URL,verified (endpoints from OSS clients),"No official API/bulk; ~68.7k WD records ~6% active; union lines fresh, SU survey lines can be a decade stale; parsers: grey-flannel/usdol-wage-determination-data"
F10,1,federal,labor_rate,Service Contract Act wage determinations,DOL via SAM.gov,https://sam.gov/wage-determinations,Maintenance-trade rates (carpenter/electrician/HVAC/plumber maint.),$/hr,county groups,annual + updates,days,text,same endpoints index=sca,n/a,current,public domain,VERIFIED-URL,verified,Cross-check for maintenance trades
F11,1,federal,labor_rate,Quarterly Workforce Indicators (LEHD),Census,https://api.census.gov/data/timeseries/qwi/sa,"Avg monthly earnings (stable, new hires) by county × NAICS 4-digit",$/month,county / CBSA / state,quarterly,~9 months,JSON/CSV,API (key) + https://lehd.ces.census.gov/data/qwi/,n/a,1990s+ (varies by state),public domain,VERIFIED-URL,verified,New-hire earnings ≈ current bid wage
F12,1,federal,labor_rate,ACS PUMS occupation wages,Census,https://api.census.gov/data/{yr}/acs/acs5/pums,Person-level wages/hours by occupation incl. self-employed,$/yr,PUMA / state,annual,~1 year,CSV/API,API/FTP,n/a,2005+,public domain,UNVERIFIED,knowledge,Only source covering self-employed trades
F13,1,federal,market_volume,Construction Spending (VIP),Census,https://api.census.gov/data/timeseries/eits/vip,Monthly $ value put in place by category,$,national,monthly,~1 month,JSON,API (key required from May 2026),n/a,1993+,public domain,VERIFIED-URL,verified,Weighting/deflators
F14,1,federal,transaction,Building Permits Survey,Census,https://www2.census.gov/programs-surveys/bps/,"Permits, units, valuation by structure type",$ valuation,"county, place, metro, state",county annual (May); monthly at state/MSA/place,~1 month,ASCII CSV (county annual file coYYYYa.txt),FTP (www2.census.gov/programs-surveys/bps/),n/a,1980+,public domain,VERIFIED-URL,verified,Path is /programs-surveys/bps/ (not /econ/bps/); valuations self-reported and understated
F15,1,federal,benchmark,Survey of Construction microdata (single-family price/SF),Census,https://www.census.gov/construction/chars/microdata.html,"Sales price, sq ft, characteristics per sampled house",$/SF,Census division × metro flag,annual,~6 months,CSV,download,n/a,1999+,public domain,VERIFIED-URL,verified,Next file 1 Jul 2026
F16,1,federal,benchmark,Price Indexes of New Single-Family Houses Sold,Census,https://www.census.gov/construction/cpi/index.html,Constant-quality house price indexes,index,national + 4 regions,quarterly,~2 months,XLS/PDF,download,n/a,1963+,public domain,VERIFIED-URL,verified,Residential escalation by region
F17,1,federal,context,County Business Patterns (NAICS 23),Census,https://api.census.gov/data/{year}/cbp,"Establishments, employment, payroll by county/ZIP × NAICS",count/$,county / ZIP / MSA,annual,~2 years,JSON,API,n/a,1986+,public domain,VERIFIED-URL,verified,Contractor density; payroll/employee proxy
F18,1,federal,heavy_index,National Highway Construction Cost Index (NHCCI),FHWA,https://www.fhwa.dot.gov/policy/otps/nhcci/,Chained Fisher index from state DOT winning bids + component contributions,index,national,quarterly,~1 quarter,dashboard export / Socrata,https://data.bts.gov/Research-and-Statistics/National-Highway-Construction-Cost-Index-NHCCI-/wgzr-nyxc,awarded,2003+,public domain,VERIFIED-URL,verified,Built from Oman Systems BidTabs; item-level bids not released
F19,1,federal,transaction,FMIS federal-aid project listings (Transparency Act),FHWA,https://www.fhwa.dot.gov/transparencyact/,"Per project obligations, est. total cost, county, improvement type",$,county/project,annual,~1 year,HTML/Excel per state,download,n/a,2010+,public domain,VERIFIED-URL,verified,Obligations not bids
F20,1,federal,heavy_index,Civil Works Construction Cost Index System (CWCCIS) EM 1110-2-1304,USACE,https://www.nww.usace.army.mil/Portals/28/CWCCIS_Tables_SEP-2025.pdf,"Indexes by civil-works feature (dams, levees, channels…); Table A-3 state adjustment factors",index,national + state factors,tables semiannual (Sep 2025 latest); EM revision 2021,months,PDF,download,n/a,1967 base,public domain,VERIFIED-URL,verified,PDF only; base 1967=100; Table A-3 state adjustment factors; EM https://www.publications.usace.army.mil/Portals/76/Users/182/86/2486/EM%201110-2-1304_2021.pdf
F21,1,federal,location_factor,DoD Facilities Pricing Guide UFS 3-701-01 (2 Feb 2026) — Area Cost Factors + facility unit costs,DoD (NAVFAC/USACE/AFCEC),https://www.wbdg.org/FFC/DOD/UFC/ufs_3_701_01_2026.pdf,"Table 4-1 ACFs (213 CONUS locations; 8 crafts, 18 materials, 4 equipment; M/L/E 63/35/2); Table 2 $/SF by facility type; Table 6 site/utility $/UOM; escalation tables",factor + $/SF + $/UOM,city/installation (96 base cities),annual,~1 year,PDF + combined Excel 'Related Materials',download (S3 mirror nibs-s3-wbdg3-production.s3.us-east-1.amazonaws.com),n/a,annual editions,public domain,VERIFIED-DETAIL,verified (PDF read),Best free composite location factor; city-level not county
F22,1,federal,location_factor,PAX Newsletter 3.2.1 Army Area Cost Factors,USACE,https://usace.contentdm.oclc.org/digital/api/collection/p16021coll8/id/4441/download,Army ACF list,factor,installation/city,annual,~1 year,PDF,download,n/a,2023 ed,public domain,VERIFIED-URL,verified,Companion to UFC 3-701-01
F23,4,federal,unit_price_db,MII / MCACES Cost Book (Unit Price Book),USACE Huntsville / licensed,https://www.hnc.usace.army.mil/Portals/65/docs/PAO/Fact%20Sheets/2018%20Fact%20Sheets/TRACES%201809.pdf,~70k line items M/L/E,$/unit,national + ACF,annual,—,software DB,commercial license required,n/a,—,licensed (not open),VERIFIED-URL,verified,Not open data despite being government-used
F24,1,federal,equipment,Schedule of Equipment Rates,FEMA,https://www.fema.gov/sites/default/files/documents/fema_pa_schedule-equipment-rates_2025.pdf,~1000 equipment types hourly rates (excl. operator),$/hr,national,2025 edition (disasters declared on/after Jul 1 2025),—,PDF (Excel historically),download; OpenFEMA/data.gov dataset https://catalog.data.gov/dataset/schedule-of-equipment-rates,n/a,multiple editions,public domain,VERIFIED-URL,verified,Reimbursement ceilings not market rental
F25,1,federal,equipment,EP 1110-1-8 Construction Equipment Ownership & Operating Expense Schedule,USACE,https://www.publications.usace.army.mil/Portals/76/Users/182/86/2486/EP%201110-1-8_RV1-12.pdf,Ownership + operating $/hr by make/model,$/hr,12 regions,latest verified edition Nov 2016 (no 2023-26 edition found),—,PDF,download,n/a,multiple editions,public domain,VERIFIED-URL,verified,PDF parse; fuel adjustment needed
F26,2,federal,unit_price,EQIP payment schedules / cost lists,USDA NRCS,https://www.nrcs.usda.gov/getting-assistance/payment-schedules,"Typical cost by practice scenario (fence, pipe, earthwork, concrete structures, roads) built from M/L/E components",$/ft $/CY $/ea $/ac,state (some sub-regions),annual (Oct-Dec),—,PDF (some Excel) per state,download,n/a,several years,public domain,VERIFIED-URL,verified,Rare absolute state-level unit prices; program estimates not bids
F27,1,federal,heavy_index,Construction Cost Trends,Bureau of Reclamation,https://www.usbr.gov/tsc/techreferences/mands/cct.html,"Composite + ~30 category indexes (dams, pipelines, pumping plants, canals)",index,national/Western,quarterly,~1 quarter,PDF,download,n/a,1940+,public domain,VERIFIED-URL,verified,Water infrastructure escalation
F28,1,federal,fuel,Weekly retail fuel prices (diesel/gasoline),EIA,https://api.eia.gov/v2/petroleum/pri/gnd/data/,"Diesel, gasoline $/gal",$/gal,"US, PADD/sub-PADD, ~10 states, select cities",weekly,days,JSON,API (free key),n/a,1990s+,public domain,VERIFIED-URL,verified,Fuel surcharges for hauling/asphalt/equipment
F29,1,federal,aggregator,FRED,St. Louis Fed,https://api.stlouisfed.org/fred/series/observations,Mirrors BLS PPI/CES/ECI; Census VIP/permits,index,national (some state),per source,per source,JSON/CSV,API (free key; 120 req/min),n/a,per source,mixed (govt series public),VERIFIED-URL,verified,Convenience aggregator
F30,1,federal,transaction,USAspending contract awards (NAICS 236/237/238),Treasury,https://api.usaspending.gov/api/v2/search/spending_by_award/,Obligations by award with place of performance county/ZIP,$,county/ZIP/project,daily,days,JSON / bulk CSV,API (no key) + bulk_download,n/a,FY2008+,public domain,VERIFIED-URL,verified,Project-level benchmarks; no unit prices
F31,1,federal,transaction,FPDS ATOM feeds,GSA,https://www.fpds.gov/ezsearch/FEEDS/ATOM?FEEDNAME=PUBLIC,Contract award records,$,county/ZIP,daily,days,XML,feed,n/a,FY2004+,public domain,UNVERIFIED,knowledge,Source of USAspending contracts
F32,2,federal,transaction,OpenFEMA Public Assistance Funded Projects,FEMA,https://www.fema.gov/api/open/v2/PublicAssistanceFundedProjectsDetails,Project amounts by county/damage category,$,county/project,continuous,months,JSON/CSV,API (no key),n/a,1998+,public domain,UNVERIFIED,knowledge,Disaster repair cost benchmarks
F33,3,federal,methodology,FEMA Cost Estimating Format (CEF) + cost codes,FEMA,https://www.fema.gov/assistance/public/tools-resources/cost-estimating-tool,CEF Excel template; cost-code unit prices internal,$/unit,national,periodic,—,Excel/PDF,cost codes login-only (Grants Portal),n/a,—,public (template) / internal (codes),VERIFIED-URL,verified,Unit prices not open
F34,1,federal,benchmark,VA Cost Estimating Manual,VA CFM,https://www.cfm.va.gov/cost/CostEstimatingManual.pdf,Methodology + escalation; VAMC unit-cost guides moved to intranet,$/SF,VA locations,periodic,—,PDF,download,n/a,2022,public domain,VERIFIED-URL,verified,Low data value
F35,1,federal,benchmark,NPS Cost Estimating Requirements Handbook,NPS DSC,https://www.nps.gov/dscw/upload/CostEstimatingRequirementsHandbook-062025-508.docx,Class C benchmark guidance; cost DB internal,—,national,periodic,—,DOCX/PDF,download,n/a,2025,public domain,VERIFIED-URL,verified,Low data value
F36,1,federal,specialty_solar,PV System Cost Benchmark,NREL,https://www.osti.gov/dataexplorer/biblio/dataset/3009689,"$/W by component (modules, inverters, BOS, labor, soft costs)",$/W,national,annual,~1 year,XLSX/PDF,download,n/a,2010+,open (attribution),VERIFIED-URL,verified,Q1 2025 dataset
F37,1,federal,specialty_solar,Tracking the Sun,LBNL,https://emp.lbl.gov/tracking-the-sun,Per-system installed price for >1.5M PV systems (state; some county/ZIP),$/W,state (system-level records),annual (mid-Oct),~1 year,CSV (~1.9 GB),download,n/a,2000+,open,VERIFIED-URL,verified,Best-instrumented specialty trade
F38,1,federal,specialty_solar,Solar TRACE (permit/inspection timelines & fees by AHJ),NREL,https://solartrace.nrel.gov/,Permitting fees and timelines by jurisdiction,$/days,AHJ (city/county),annual,—,XLSX,download,n/a,2025 v9,open,VERIFIED-URL,verified,Soft-cost localization
F39,1,federal,specialty_storage,Utility-scale battery cost projections,NREL,https://docs.nlr.gov/docs/fy25osti/93281.pdf,$/kWh projections,$/kWh,national,annual,—,PDF,download,n/a,2025,open,VERIFIED-URL,verified,NREL rebranding to NLR
F40,1,federal,location_factor,Regional Price Parities,BEA,https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,"Goods, rents, other services price level by state/MSA",index,state; MSA (376); metro/nonmetro portion,annual (2024 data released Feb 2026; 2025 due Dec 10 2026),~1 year,CSV zip / API,bulk + API (key),n/a,2008+,public domain,VERIFIED-URL,verified,Tables SARPP/MARPP/PARPP in Regional dataset; 2024 highs CA 110.7 HI 110.0 NJ 108.8; lows AR 86.9 MS 87.0
F41,2,federal,benchmark,HUD Total Development Cost & Housing Construction Cost limits,HUD PIH,https://www.hud.gov/sites/dfiles/PIH/documents/2024_Units_TDC_Limits.pdf,$/unit by structure type × bedroom count; derivation = avg of RSMeans (average) and Marshall & Swift (good) residential indices (24 CFR 905.314); HUD-50156 TDC workbook XLSX,$/unit,city/PHA,annual,—,PDF/Excel,download,n/a,2000+,public domain,PARTIAL,verified (2024); 2025/26 not found,Multifamily location benchmark
F42,2,federal,benchmark,FTA Capital Cost Database,FTA,https://www.transit.dot.gov/capital-cost-database,As-built costs by FTA Standard Cost Category for 54-65 transit projects,$/unit,project,periodic,—,Excel + Quick Guide PDF (June 2023),download,n/a,multiple,public domain,VERIFIED-URL,verified,Transit-specific
F43,1,federal,material_price,"Mineral Commodity Summaries + Minerals Yearbook (cement, crushed stone, sand & gravel, gypsum, copper)",USGS,https://www.usgs.gov/centers/national-minerals-information-center,Annual average unit values; state-level production/value in Yearbook,$/ton,national + state,annual,~1 year,XLSX/PDF,download (ScienceBase DOI),n/a,decades,public domain,VERIFIED-URL,verified (referenced),State-level cement/aggregate values
F44,1,federal,labor_rate,OFLC Online Wage Library (OEWS-derived Level 1-4),DOL OFLC,https://flag.dol.gov/wage-data/wage-search/,Prevailing wage levels by SOC × area,$/hr,MSA/state,annual (July),—,web + yearly extract,download,n/a,multiple,public domain,VERIFIED-URL,verified,FLCDataCenter discontinued Jul 1 2024; wage year 7/2025-6/2026; bulk file name not found
F45,1,federal,geo,HUD USPS ZIP-County/Tract/CBSA crosswalk,HUD,https://www.huduser.gov/hudapi/public/usps,ZIP→county/tract/CBSA with res/bus address ratios,ratio,ZIP,quarterly,—,JSON/Excel,API (token),n/a,2010+,public domain,VERIFIED-URL,verified,ZIP≠ZCTA; needed for ZIP3 mapping
F46,1,federal,geo,OMB CBSA delineation files,Census/OMB,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.csv,County→CBSA/CSA,—,county,per OMB bulletin,—,CSV/XLS,download,n/a,2003+,public domain,VERIFIED-URL,verified,Match vintage to OEWS
F47,1,federal,geo,TIGER/Line shapefiles,Census,https://www2.census.gov/geo/tiger/,"County, place, ZCTA, tract polygons",—,polygon,annual,—,shapefile,download,n/a,2007+,public domain,UNVERIFIED,knowledge,County spine
F48,1,federal,scope_driver,IECC climate zones by county (Building America),DOE/PNNL,https://github.com/IMMM-SFA/diyepw,"County FIPS → IECC zone, moisture regime",—,county,static,—,CSV,download,n/a,2012/2021 vintages,public domain,VERIFIED-URL,verified (mirror),Drives insulation/HVAC scope
F49,1,federal,scope_driver,USGS Design Maps web service (ASCE 7 seismic),USGS,https://earthquake.usgs.gov/ws/designmaps/asce7-22.json,Seismic design parameters at a point,—,point,live,—,JSON,API (no key),n/a,—,public domain,VERIFIED-URL,verified,Structural scope multiplier
F50,3,federal,scope_driver,ATC Hazards by Location API,ATC,https://api-hazards.atcouncil.org/public/v1/,"Wind, snow, seismic, ice, rain, tornado (ASCE 7)",—,point,live,—,JSON,API,n/a,—,ATC terms (check commercial use),VERIFIED-URL,verified,Envelope/roof scope
F51,1,federal,scope_driver,National Flood Hazard Layer,FEMA,https://hazards.fema.gov/gis/nfhl/rest/services/public/NFHL/MapServer/28/query,Flood zone at a point,—,point,continuous,—,JSON,ArcGIS REST,n/a,—,public domain,VERIFIED-URL,verified,Foundation/elevation scope
F52,1,federal,scope_driver,SSURGO Soil Data Access,USDA NRCS,https://sdmdataaccess.nrcs.usda.gov/Tabular/post.rest,Soil engineering properties,—,map unit polygon,annual,—,SQL/JSON,API,n/a,—,public domain,VERIFIED-URL,verified,Foundation scope
S01,1,state,dot_bid_data,TxDOT Bid Tabulations (open data),Texas DOT via data.texas.gov,https://data.texas.gov/dataset/Bid-Tabulations/de7b-7dna,"Every bid item, every bidder, engineer's estimate, county, district, spec year",$/unit,county / 25 districts / statewide,per letting (monthly),~weeks,CSV / Socrata API,https://data.texas.gov/api/views/de7b-7dna/rows.csv?accessType=DOWNLOAD,all bidders,verify,open,VERIFIED-URL,verified,Best single structured US bid dataset; Bid Item Averages Power BI dashboard (24-mo rolling)
S02,1,state,dot_bid_data,TxDOT Average Low Bid Unit Prices (legacy) & Bid Items index,Texas DOT,https://www.txdot.gov/business/road-bridge-maintenance/contract-letting/bid-items-and-index.html,3- and 12-month avg low bid by item; district pages,$/unit,statewide + district,monthly,—,HTML/Excel,download,awarded,years,open,VERIFIED-URL,verified,Legacy district HTML pages back years
S03,1,state,dot_bid_data,ODOT (Oregon) Bid Item Prices spreadsheet + Weighted Average Item Prices,Oregon DOT,https://www.oregon.gov/odot/business/pages/average_bid_item_prices.aspx,"Bid date, contract, region, item, qty, price, bidder rank",$/unit,5 regions + statewide,continuous / annual PDF,—,XLSX + PDF,download,all bidders (rank),2019+ PDFs,open,VERIFIED-URL,verified,Excellent structured source
S04,1,state,dot_bid_data,ITD Item Average Price Report spreadsheet,Idaho Transportation Dept,https://apps.itd.idaho.gov/Apps/contractors/Reports/Avg_Unit_Price_Instructions.pdf,All bidders with rank per item,$/unit,statewide/district,continuous,—,XLSX,download,all bidders,verify,open,VERIFIED-URL,verified,
S05,1,state,dot_bid_data,WVDOH Average Unit Bid Prices,West Virginia DOH,https://transportation.wv.gov/highways/contractadmin/Lettings/Pages/AverageUnitBidPrices.aspx,"Min/mean/max, frequency, qty by district",$/unit,district,annual,—,XLS/PDF/TXT,download,all bids,2008+,open,VERIFIED-URL,verified,
S06,1,state,dot_bid_data,INDOT Unit Price Summaries,Indiana DOT,https://www.in.gov/indot/doing-business-with-indot/files/CY2024-Unit-Price-Summary.xlsx,Weighted avg/high/low from low bid,$/unit,statewide,annual (CY),—,XLSX,download,awarded (low bid),2008+,open,VERIFIED-URL,verified,Bid Viewer: https://erms12c.indot.in.gov/INDOTBidViewer/BidTabulations.aspx
S07,1,state,dot_bid_data,NCDOT Bid Averages (.xlsm) + Bid Tab Sheets,North Carolina DOT,https://connect.ncdot.gov/letting/pages/bid-tabs.aspx,Annual bid averages; per-letting tabs,$/unit,statewide,annual + per letting,—,XLSM + PDF,download,averages awarded; tabs all bidders,2017+,open,VERIFIED-URL,verified,
S08,1,state,dot_bid_data,VDOT Statewide Bid Tab Query + 2-yr Historical Bid Price Listing,Virginia DOT,https://bidtabs.vdot.virginia.gov/,NHCCI-indexed bid query; district & statewide 1-/2-yr averages,$/unit,9 districts + statewide,continuous / monthly,—,web app + XLSX/PDF,query + download,all bidders (likely),multi-year,open,VERIFIED-URL,verified,
S09,1,state,dot_bid_data,MassDOT Construction Project Estimator weighted bid prices,MassDOT,https://hwy.massdot.state.ma.us/CPE/,All responsive bids trimmed; mean & median by quantity band,$/unit,statewide (quantity bands),weekly,—,web app,query,all bidders,verify,open,VERIFIED-URL,verified,Unique quantity-banded means
S10,2,state,dot_bid_data,Caltrans Contract Cost Data database,Caltrans,https://d8data.dot.ca.gov/contractcost/resources.html,"Avg unit cost, std dev by item; contract detail",$/unit,12 districts + statewide,imported ~every 2 weeks,—,HTML query,scrape (results.php?cs=1&item=…),awarded contract prices (all-bidder coverage unverified),year filters back to 2008 seen,open (verify TOS),VERIFIED-URL,verified,No bulk export; district + year filters; CCI-adjusted price option; bid summaries downloadable per contract at ppmoe.dot.ca.gov/des/oe/awards/bidsum/
S11,2,state,dot_bid_data,FDOT Historical Item Average Cost reports + Bid Price Search,Florida DOT,https://www.fdot.gov/fpo/fpc/reports/historicalitemaveragecost,Quantity-weighted awarded prices by market area / district / statewide,$/unit,~14 market areas / 7 districts / statewide,monthly moving windows + annual,—,PDF; dashboard,download,awarded,2016+,open,VERIFIED-URL,verified,Public dashboard does NOT allow download (verified); PDF reports by market area/district/statewide
S12,2,state,dot_bid_data,WSDOT Unit Bid Analysis + bid tabulations,Washington State DOT,https://wsdot.wa.gov/engineering-standards/design-topics/engineering-applications/unit-bid-analysis,Bid history by item/contractor/county/date,$/unit,county / region / statewide,continuous,—,web query + Excel export,query,UBA = 3 lowest bidders only; bid tabulations page = all bidders + engineer estimate,verify,open,VERIFIED-URL,verified,Bid tabs: https://wsdot.wa.gov/business-wsdot/contracts/about-public-works-contracts/public-works-contract-history/bid-tabulations ; bid history downloadable reports
S13,2,state,dot_bid_data,NYSDOT Weighted Average Item Price Report (WAIPR),NYSDOT,https://www.dot.ny.gov/divisions/engineering/design/dqab/waipr,Weighted avg awarded price per item by region,$/unit,11 regions + statewide,semiannual,—,PDF,download,awarded,2010+,open,VERIFIED-URL,verified,
S14,2,state,dot_bid_data,MnDOT Abstracts + average bid price reports + CCI,MnDOT,https://www.dot.state.mn.us/bidlet/abstract.html,All bidders + engineer's estimate per project,$/unit,statewide (district in abstracts),per letting,—,PDF,download,all bidders,verify,open,VERIFIED-URL,verified,Third-party mndotbidprices.com scraped these
S15,2,state,dot_bid_data,PennDOT ECMS bid results / item price history,PennDOT,https://www.ecms.penndot.gov,Bid tabs (ranked bidders); item price history,$/unit,statewide/district,per letting (biweekly),—,HTML app,web app; anonymous login exists; Item Price History reportedly public (confirm),3 lowest bidders item-by-item + totals for all others,verify,open,PARTIAL,partially verified,Item Price History help: https://www.ecms.penndot.gov/ecmshelp/WebHelp/Design_and_Construction/Project_Items_and_Quantities/Item_Price_History_Search.htm
S16,2,state,dot_bid_data,Ohio DOT Bid Data (Item Price Search; Bid Tabs; Summary of Contracts Awarded),ODOT,https://www.transportation.ohio.gov/working/contracts/estimating/bid-data,Interactive item price search; annual summary; archive 1994-2008,$/unit,statewide / district,per letting + annual,—,Power BI + PDF + Excel,web,all bidders,1994+,open,VERIFIED-URL,verified,"Filters by item, project type, contractor, location; refreshes on award; reports page https://www.transportation.ohio.gov/business/contracts/estimating/bid-data-reports"
S17,2,state,dot_bid_data,IDOT Letting & Bidding (Unit Price Tabulation of Bids; Pay Item Report with Awarded Prices),Illinois DOT,https://webapps.dot.illinois.gov/WCTB/LbHome,All bidders per item; awarded prices with county/district,$/unit,county + 9 districts,per letting (~monthly),—,PDF/HTML,download,all bidders,verify,open,VERIFIED-URL,verified,
S18,2,state,dot_bid_data,MDOT Bid Letting (Michigan),Michigan DOT,https://mdotjboss.state.mi.us/BidLetting/BidLettingHome.htm,Per-letting bid tabs (all bidders),$/unit,statewide/region,per letting,—,HTML/PDF,download,all bidders,verify,open,VERIFIED-URL,verified,LTAP guide on computing averages
S19,2,state,dot_bid_data,WisDOT Statewide Average Unit Price List + letting results,Wisconsin DOT,https://wisconsindot.gov/hccidocs/contracting-info/average-unit-price.pdf,3 fiscal years of averages; per-letting all bids,$/unit,statewide,annual + per letting,—,PDF,download,list awarded; letting results all bidders,3 FY,open,VERIFIED-URL,verified,
S20,2,state,dot_bid_data,CDOT Cost Data Book + quarterly CCI,Colorado DOT,https://www.codot.gov/business/eema/costdatabook,Weighted avg by item per CY,$/unit,statewide (project detail),annual,—,PDF (state library archive 2001-2025),download,awarded,2001+,open,VERIFIED-URL,verified,
S21,2,state,dot_bid_data,ADOT Bid Tabulations (4-month window),Arizona DOT,https://cnsads.azdot.gov/tabulations,All bidders per letting,$/unit,statewide,per letting,—,HTML/PDF,download,all bidders,4 months online,open,VERIFIED-URL,verified,Must poll continuously to retain history
S22,2,state,dot_bid_data,MoDOT district Unit Bid Prices,Missouri DOT,https://modot.org/bid-opening-info,Avg/high/low by district,$/unit,district,annual,—,PDF (plans room ViewStream ids),download,all bids,2020+,open,VERIFIED-URL,verified,
S23,2,state,dot_bid_data,KDOT Historical Bid Tabs Index,Kansas DOT,https://kdotapp.ksdot.gov/BidTabs/,CSV index + tab files,$/unit,statewide,per letting,—,CSV + files,download,all bidders,verify,open,VERIFIED-URL,verified,
S24,2,state,dot_bid_data,Iowa DOT Bid Tabulations,Iowa DOT,https://iowadot.gov/consultants-contractors/contracts/historical-completed-lettings/bid-tabulations,Per-letting tabs,$/unit,statewide,per letting,~1 week,PDF,download,all bidders,verify,open,VERIFIED-URL,verified,Free mirror bidtabs.us/ia
S25,2,state,dot_bid_data,LADOTD bid tabulations,Louisiana DOTD,https://wwwapps.dotd.la.gov/engineering/lettings/bidstabs/,Per-letting item tabs (ASP.NET HTML),$/unit,statewide/district,per letting,—,HTML,scrape,all bidders,verify,open,VERIFIED-URL,verified,Clean HTML
S26,2,state,dot_bid_data,ALDOT Item Bid Summary + Bid Tabs (TXT/PDF),Alabama DOT,https://alletting.dot.state.al.us/DW_Pages/Pages/Item_Bid_Summary.html,18-month low/avg/max; per-letting tabs,$/unit,statewide,per letting,—,HTML/TXT/PDF,download,tabs all bidders,2025+ seen,open,VERIFIED-URL,verified,Text tabs easy to parse
S27,2,state,dot_bid_data,SCDOT bid tabs,South Carolina DOT,https://info2.scdot.org/bidtabs/Pages/home.aspx,Per-letting tabs,$/unit,statewide,per letting,—,PDF,download,all bidders,2017+,open,VERIFIED-URL,verified,
